isolate	coverage
SEQ004	55.4819
SEQ012	96.5035
SEQ013	48.2129
SEQ018	102.83
SEQ023	93.6454
SEQ033	93.6454
SEQ034	115.55
SEQ037	110.58
SEQ038	106.129
SEQ039	107.625
SEQ040	124.016
SEQ041	103.983
SEQ044	108.672
SEQ045	143.053
SEQ046	106.423
SEQ047	109.674
SEQ052	117.306
SEQ053	100.597
SEQ054	102.921
SEQ057	92.2205
SEQ059	121.698
SEQ062	113.825
SEQ066	120.352
SEQ073	49.8231
SEQ076	31.9512
SEQ077	3.0309
SEQ085	43.4948
SEQ099	26.3844
SEQ100	27.597
SEQ107	47.0873
SEQ111	26.124
SEQ114	30.6381
SEQ119	46.4794
SEQ121	47.7481
SEQ122	33.7928
SEQ123	79.9427
SEQ125	69.2536
SEQ126	32.283
SEQ127	22.2305
SEQ132	39.4236
SEQ133	16.4945
SEQ140	27.6803
SEQ149	37.3024
SEQ153	20.8795
SEQ160	25.4208
SEQ168	43.8484
SEQ172	26.8045
SEQ177	15.9618
SEQ189	22.2492
SEQ190	28.5524
SEQ201	26.12
SEQ217	33.5703
SEQ219	75.0287
SEQ249	48.8093
SEQ269	81.0381
SER001	57.8357
SER002	43.8004
SER003	46.247
